@relation sentiment-of-kitapyurdu-comments
@attribute comment string
@attribute sentiment {positive,negative}

@data
"6-7 siparis oldu kullaniyorum genelde ucer beser kitaplar halindeydi siparislerim  eksiksiz bir sekilde memnun kaldim. hem zamaninda siparis hazirlayip yolluyorlar  hem de her kitabin tedarik suresini yazdiklari icin siparisinizi ona gore verebiliyorsunuz. bunlarin ustune  fiyat olarak daha ucuzu yoktur diye tahminediyorum.", positive
"fiyatlari idefixden makul  cesitleri kafa kafaya iken site tasarimi ve odeme secenekleri tas devrinden kalmadir. ancak sorunsuz teslimat (allah icin idefixte oyle) ve her alisveris kolisinin icine bir kac esantiyon -ki bi keresinde kakaolu puding bilem cikti- ile bu acigini kapatmaya calismaktadir.", positive
"benim icin gitgide idefixin yerini alan sanal kitapevi. siparislerim bazen idefix kadar hizli sevk edilmiyor fakat itiraf etmek gerekiyor ki devir ekonomi devri ve fiyatlariyla idefixe ciddi anlamda agir basiyor artik.", positive
"eskiden daha kalin kartonlarla sabitlenmis kitap paketleri gonderen sitedir. super mangal yelpazesi olan eski kartonlari gordukten sonra bu yeni yari sert kagitlari goren gencler tedirgin.", positive
"bir zamanlarin  koyun olmayan yerdeki abdurrahman celebisi.su an icerik olarak diger rakiplerinden (idefix  ilknokta  vs)  cok sayida kitabi bunyesinde bulunduruyor.vaktiniz bol ve sansiniz var da hersey yolunda gider bir puruz cikmazsa iyidir.", positive
"alisverislerimde henuz bir problemle karsilasmadigim site.biraz daha cok az daha hizli olunabilse.", positive
"istedigim butun kitaplari kolayca buldugum  hicbir alisverisimde sorun cikarmamis sitedir. bir de ustune her ay duzenli alisveris yapinca ekstra indirim uyguluyorlar. daha ne olsun.", positive
"verdigim siparisi 9 gun deyip  4 gunde elime ulastirdilar.  internet uzerinden kitaplarin temin edilme ve kargoya gonderilme islemlerini de takip edebiliyorsunuz. idefixden ucuz  kitapzenden pahali bir site. ayrica temin edemedikleri bir kitap icin 2 gun once bir e-posta atarak ozurlerini belirtmis  bu urunun bedeli  sizden gelen talimatdogrultusunda yaiade edilecek ya da hesabinizaalacak ceki olarak duzenlenecektir. diye not dusmusler. kibar bir site  tebrik ederim.ek: 2 ay ust uste siparis verirseniz sonraki ay vereceginiz sipariste mevcut indirim uzerinden %3  bir sonraki ay ise %5 indirim yapiyorlarmis  e-posta attilar az evvel.", positive
"karinca gibi calisan  deli gibi hizli ve saglam kargoya  tonlarca kitap cesitliligine ve diger sitelere nazaran cok daha ucuz fiyatlara sahip  bana gore su anda internet piyasasinda bulunan en iyi kitap satis sitesidir. ayrica ust uste kitaplar alirsaniz  size cok harika indirimler sunmaktadir bu yuce site. beni cennete yollayacaginibilsem 7/24 ibadet ederimanamavradim olsun.", positive
"evi kitapyurdu.coma yakin olanlar artik kitapyurdundan alacagim secenegini isaretleyip subelerinden alabiliyorlar. cok guzel bir uygulama olmus. boylece 4 tl kargo ucreti vermiyorsunuz ve zaten piyasaya gore ucuz olan kitaplar daha da ucuza geliyor. bravo.", positive
"kitaplari da hizli yollamalari ve bircok siteden daha ucuz olmalari beni her zaman cezbeden yani olmustur.", positive
"verdigim siparisi bir gun sonra ulastirarak tum replerimi almis kurulus. helal olsun.", positive
"siparisimi 2 gun icinde gonderen  kargo olayinda secenekler sundugu icin takdir toplayan ve son olarak kargo paketinin icine  sallama dogus cay atan firma.", positive
"8inde(dun) aksam girdigim siparisi 2 gun yazmasina ragmen 9unda(bugun) hatta oyle aksam falan da degil oglen saatinde elime ulastirdilar.nasil yaptilar bilmiyorum ama helal olsun ustune bir de 40 hediye puan verdiler.", positive
"sahibi sadi kizirin hicbir cemaatle uzaktan yakindan alakasinin olmadigi sitedir.son derece durust bir yaklasimla amaclari kitaplari insanlara cuz-i bir kar karsiligi ulastirmaktir.internet dunyasini parsellemis kodaman para babalarina inat  kendi halinde ve bagimsiz bir kurulustur kitapyurdu.com bu yuzden butun kitaplarimi 2 gun beklemek pahasina bu siteden alirim.", positive
"saat 18.00dan 06.00a kadar kulkedisi firsatlari diye bir kampanya uyguluyorlar  bayagi avantajli alisveris yapilabiliyor. her siparis  tavsiye ve yorum sonrasi kazanilan puanlarla da kitap alma sansiniz var. ancak puan katalogu bu kadar korkunc olmak zorunda miydi diye dusunmeden edemiyorum.", positive
"kendi capimda bulamadigim kitap olmayan yurttur. sevilesidir. ozellikle de adam akilli okumalik bi kitap-dergi bulamadiginiz bi ildeyseniz tadindan yenmeyecek olan yegane dosttur.", positive
"verdigim birkac siparisin ardindan  olmasi gerektigi gibi olan nisanini  gonul rahatligiyla  herkesin huzurunda  yakasina ilistirmeyi sahsimda uygun gordugum sitedir. memnun kaldim resmen.", positive
"kesinlikle turkiyedeki iyi isleyen uc-bes alisveris sitesinden biri hatta bence en iyisidir. bir hesap yaptim da  kitapyurdu sayesinde gecen yil kitaba vermem gereken para 630 kusur tl iken 510 tl vermisim ki bu ucretlere kargolama ucreti de dahildir. ayrica  satin aldigim kitaplarin hicbirisi kotu vaziyette gelmemistir. isini iyiyaptiklari icin tesekkuruborc bilirim busite sahiplerine.", positive
"kitap fiyatlarinin ucuzluguyla musteri ceken site.", positive
"ya reklam mailleri icin kullandiklari mail server sorunlu ya da bu adamlar mal. haftaboyu %5 indiriminiz var konulu mailleri 4.kez indirim elime bittikten sonra elime ulasiyor. saka gibi gece 00.00 dan sonra kampanya bitiyor ve bana tam o anda mail geliyor bir kac defadir.", negative
"ancak olaki ufak bir sorun cikti cekeceginiz cile var.memleketteki pek cogu gibi aslinda kurumsalmis gibi gorunmeye/olmaya calisan bir patron sirketi. bu nedenle zaman zaman can sikintisi yasatabiliyor.dolayisiyla mecbur kalmadikca ufleyerek kullanmak gerek. bir de garip bir tedarik suresi hesaplamalari var. mesela tahmini tedarik suresi a kitabi icin 4 is gunu b kitabi icin 3 is gunu ise size yaklasik tedarik suresi 6/7 is gunu veriliyor. mantiken (evet mantiken) bunun 4 is gunu olmasi gerekir. ama nedense sureler toplaniyor (gibi). tek tek mi tedarik ediyorunuz kitaplari. birini bulmadan digerini aramaya baslamiyor musunuz.bir de puan sistemi var. evlere senlik. birikiyor birikiyor ne ise yariyor. hic iste gazoz kapagi.nerede satilmayan stokta kalan 3 tanesi 1 lira kabilinden kitap varsa puanla ancak bunu alabiliyorsunuz. yersen.", negative
"verdigim siparisi bir hafta gecmesine ragmen hala gonderememis sitedir. mail attim hesap sordum. verdikleri cevap hazirda bulunan mesajlardan biriydi. siparisler 5 is gununde teslim ediliyormus. zaten ben siparis vereli tam 5 gun olmustu. bunu kendilerine yazdigimda saatler sonra cevap alabildim. bugun yani 6.gun kargoya vereceklermis. bu demek oluyor ki pazartesi gunu elime gececek haftasonu isyerinde degilim cunku. yani istedigim kitaplara 9 gun sonra ulasabilecegim. bu arada iki tane haftasonu gecmis oldu ve ben o kitaplari pekala bir kitapcidan alip bitirmis olabilirdim. ustelik kargo parasi da ekleyince ayni ucrete denk geliyor. bir daha bu siteye girersem iki olsun. kitap alinca ve ya yorum yapinca kazanilan puanlari ise bir sonraki alisveriste kullanamiyorsun. sadece belirli kitaplari var. puan katalogundaki kitaplar bolumunden seciyorsun ki ordaki kitaplar da bes para etmez. eeee nerde kaldi bu sitenin avantaji.", negative
"yil olmus 2011 adamlar hala 1 (yaziyla: bir) kitabin tedarik suresi icin 8 gun diyebiliyor. elle yaziyorlar sanirim.", negative
"ilk alisverisimde (8 kitap) oldukca memnun kaldigim fakat sonraki iki siparisimde beni buyuk hayal kirikliklarina ugratan sirket. ikinci siparisim (16 kitap) yaklasik teslim suresinden (5 is gunu) cok sonra ucuncu siparisim (11 kitap halihazirda beklemekte olan) gecen hafta saliyi carsambaya baglayan gece yapilmasina ragmen hala gelecek. ucuncu siparisimin de yaklasik teslim suresi yaklasik 5 is gunu idi. ustelik sikayet mektubuma da halen bir cevap alabilmis degilim. bu yavaslik gercekten cok sikinti yaratmakta. (bu arada kitaplarin gelecegi adres ise ankara. yani ulastirmakta sorun cekecekleri bir yer degil.)bu sorunumun haricinde kitap fiyatlari muadili internet uzerinden satis yapan firmalara gore cok az daha dusuktur. oteki kitapcilara gore ise yaklasik %20-%25 arasinda daha ucuzdur. bu gercekten olumlu bir ozellik. fakat basta da dedigim gibi son iki siparisimdeki kitaplari hazirlamakta ve temin etmekte oldukca yavas kaldilar.", negative
"puanli alisveris katalogu basligi altindaki kitap sayisini azaltmalari ciddi bir eksidir. hediye puanlarinin kullanilabilecegi boylesine guzide yeri kisirlastirmak neden anlamadim.", negative
"sacma sapan bir kural cikararak son 3 ayda alinmayan kitaplari sepetim listesinden ucuran site.3 belki 4 yildir uyeyim ve sepetimde belki 300 kitap vardi. ogrencilik zamanimda yapmistim listeyi calisinca alirim dediklerimi biriktirmistim.hayir yani senelerdir duruyordu sorun olmuyordu biz de guvendik liste yaptik.simdi calisiyorrum siteye girdim bir baktim sepetimiz bombos.bu raddeden sonra cok beklersin sevgili kitapyurdu ben tekrar o kitaplari hatirlayip sepete koyacagim da yine senden satin alacagim.kac senedir ogrenci halimle yuzlerce lirami doktugum kitapyurdu benim icin bu noktada bitmistir. kendilerine hafif databaseli gunler dilerim.", negative
"siyasi gorusunu attigi e-postalarla iyice gozumuze sokmaya baslamasiyla ayda buradan 5-6 kitap alan saglam musterisi olan beni kaybetmeye cok yakin yer.yahu kardesim rasim ozan kutahyali kitap yazsa ne olur benim icin imzalasa ne olur. evet.mis. neye evet acaba.", negative
"manybooks.net sitesinden bedava indirebileceginiz kitaplari parayla satmaktadir. artik bu kadarina da pes diyorum.buyrun linkler:kitapyurdu.com.", negative
